"","X","name","full_team","team","year","games_in_season","num_games_missing","num_games_injured","injury_types","earliest_injury","latest_injury","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot"
"2720",32064,"Donovan McNabb","Washington Football Team","was",2010,16,2,12,"ankle  thigh hamstring hamstring groin",1,15,"QB",1999,1,2,74,240,"1976-11-25",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,4,1
"2721",32076,"Kareem Moore","Washington Football Team","was",2010,16,4,11,"knee  ankle biceps",1,16,"DEF",2008,6,180,71,213,"1984-08-13",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1,1
"2722",32092,"Santana Moss","Washington Football Team","was",2010,16,0,4,"hamstring knee",10,13,"WR",2001,1,16,70,193,"1979-06-01",4.31,0,0,0,70,184,0,0,1,0,0,0,0,0,0,2,0
"2723",32107,"Brian Orakpo","Washington Football Team","was",2010,16,1,6,"ankle back groin hamstring groin",8,16,"DEF",2009,1,13,76,257,"1986-07-31",4.63,0,31,0,75,263,0,39.5,1,0,0,1,0,0,0,3,1
"2724",32112,"Clinton Portis","Washington Football Team","was",2010,16,11,13,"wrist groin abdomen groin",2,16,"RB",2002,2,51,71,218,"1981-09-01",4.42,0,0,0,71,204,0,0,1,0,0,1,0,0,1,2,0
"2725",32128,"Casey Rabach","Washington Football Team","was",2010,16,0,7,"foot knee shoulder knee",8,16,"OL",2001,3,92,76,292,"1977-09-24",5.23,0,19,0,76,298,0,0,1,0,1,0,0,0,0,2,1
"2726",32136,"Perry Riley","Washington Football Team","was",2010,16,2,2,"foot",1,2,"DEF",2010,4,103,73,238,"1988-05-03",4.69,6.97,0,119,73,239,4.25,35.5,0,0,0,0,0,0,0,0,1
"2727",32148,"Carlos Rogers","Washington Football Team","was",2010,16,4,6,"shoulder hamstring calf",7,16,"DEF",2005,1,9,72,195,"1981-07-02",4.44,6.48,15,126,72,196,3.82,40.5,1,0,1,0,0,0,0,2,0
"2728",32150,"Anderson Russell","Washington Football Team","was",2010,16,6,6,"knee",11,16,"DEF",NA,NA,NA,72,205,"1987-05-30",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"2729",32166,"Mike Sellers","Washington Football Team","was",2010,16,0,4,"knee  heel foot calf",1,15,"TE",NA,NA,NA,75,272,"1975-07-21",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,2
"2730",32169,"Chad Simpson","Washington Football Team","was",2010,16,8,8,"hamstring foot ankle",8,16,"RB",NA,NA,NA,69,216,"1985-08-22",4.4,0,0,124,69,216,0,32.5,0,0,0,0,0,0,0,1,2
"2731",32179,"Ryan Torain","Washington Football Team","was",2010,16,4,8,"knee hamstring ribs",7,16,"RB",2008,5,139,72,213,"1986-08-10",4.61,0,21,120,72,222,0,34,1,0,0,1,0,0,0,2,0
"2732",32194,"Keiland Williams","Washington Football Team","was",2010,16,1,1,"ankle",4,4,"RB",NA,NA,NA,71,225,"1986-08-14",4.52,0,0,0,71,233,0,0,0,0,0,0,0,0,0,0,1
"2733",32195,"Mike Williams","Washington Football Team","was",2010,16,16,16,"heart",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0
"2734",32211,"Roydell Williams","Washington Football Team","was",2010,16,0,1,"foot",12,12,"WR",2005,4,136,72,180,"1981-03-14",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
"2735",32225,"Trent Williams","Washington Football Team","was",2010,16,2,6,"knee toe shoulder",3,13,"OL",2010,1,4,77,320,"1988-07-19",4.81,7.64,23,113,77,315,4.63,34.5,1,0,1,0,0,0,0,1,1
"2736",32240,"Michael Adams","Arizona Cardinals","crd",2011,16,1,10,"knee  wrist hand neck shoulder hamstring shoulder",1,16,"DEF",NA,NA,NA,68,178,"1985-06-17",NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,0,2,2,0
"2737",32256,"Stewart Bradley","Arizona Cardinals","crd",2011,16,0,2,"ribs hamstring",10,15,"DEF",2007,3,87,76,254,"1983-11-02",4.72,7.29,28,112,76,254,4.17,35.5,0,0,0,1,0,0,0,1,0
"2738",32272,"Jeremy Bridges","Arizona Cardinals","crd",2011,16,0,1,"back",10,10,"OL",2003,6,185,77,318,"1980-04-19",5.38,8.12,25,96,76,301,4.77,28.5,1,0,0,1,0,0,0,0,0
"2739",32273,"Crezdon Butler","Arizona Cardinals","crd",2011,16,15,15,"ankle",2,16,"DEF",2010,5,164,72,183,"1987-05-26",4.43,7.08,17,121,72,191,4.23,39.5,0,0,0,0,0,0,0,0,1
"2740",32281,"Sean Considine","Arizona Cardinals","crd",2011,16,3,4,"achilles",13,16,"DEF",2005,4,102,72,212,"1982-12-17",4.5,7.09,19,117,72,212,3.92,37,0,0,0,0,0,0,0,0,1
"2741",32297,"Darnell Dockett","Arizona Cardinals","crd",2011,16,0,2,"groin quadricep",11,13,"DEF",2004,3,64,76,290,"1981-05-27",5,0,26,105,75,297,0,31,1,0,0,0,0,0,0,2,0
"2742",32313,"Early Doucet","Arizona Cardinals","crd",2011,16,0,2,"hamstring quadricep",5,7,"WR",2008,3,81,72,211,"1985-10-28",4.59,0,0,0,72,209,0,0,0,0,0,0,0,0,0,2,0
"2743",32323,"Jim Dray","Arizona Cardinals","crd",2011,16,6,8,"pectoral",1,8,"TE",2010,7,233,77,253,"1986-12-31",4.82,0,17,0,77,246,0,0,0,0,0,1,0,0,0,0,0
"2744",32339,"Nick Eason","Arizona Cardinals","crd",2011,16,0,1,"achilles",8,8,"DEF",2003,4,114,75,305,"1980-05-29",5.17,0,29,102,75,301,0,0,1,0,0,0,0,0,0,0,1
"2745",32355,"Clark Haggans","Arizona Cardinals","crd",2011,16,0,1,"hamstring",14,14,"DEF",2000,5,137,76,243,"1977-01-10",4.97,7.12,20,109,75,253,4.21,31.5,1,0,0,0,0,0,0,1,0
"2746",32365,"Todd Heap","Arizona Cardinals","crd",2011,16,6,10,"ribs hamstring",4,13,"TE",2001,1,31,77,252,"1980-03-16",4.68,0,0,0,77,252,0,0,0,0,0,1,0,0,0,1,0
"2747",32377,"Rob Housler","Arizona Cardinals","crd",2011,16,4,7,"groin  shoulder",1,14,"TE",2011,3,69,77,238,"1988-03-17",4.46,6.9,22,117,77,248,4.21,37,0,0,1,0,0,0,0,1,0
"2748",32393,"A.J. Jefferson","Arizona Cardinals","crd",2011,16,0,1,"ankle",5,5,"DEF",NA,NA,NA,72,190,"1988-04-04",4.42,6.72,7,126,72,193,4,44,0,0,0,0,0,0,0,0,1
"2749",32409,"Rashad Johnson","Arizona Cardinals","crd",2011,16,0,2,"knee",15,16,"DEF",2009,3,95,72,195,"1986-01-02",4.49,7.09,15,120,71,203,4.23,37,1,0,0,0,0,0,0,1,0
"2750",32422,"Brandon Keith","Arizona Cardinals","crd",2011,16,3,6,"knee head ankle",5,16,"OL",2008,7,225,77,343,"1984-11-21",5.27,0,31,0,77,343,0,26,1,1,0,0,0,0,0,1,1
"2751",32431,"Kevin Kolb","Arizona Cardinals","crd",2011,16,7,8,"foot head",8,16,"QB",2007,2,36,75,218,"1984-08-24",4.85,6.94,0,112,75,218,4.44,32.5,1,1,0,0,0,0,0,0,1
"2752",32447,"Paris Lenon","Arizona Cardinals","crd",2011,16,0,5,"groin",3,11,"DEF",NA,NA,NA,74,240,"1977-11-26",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0
"2753",32448,"Korey Lindsey","Arizona Cardinals","crd",2011,16,1,1,"illness",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"2754",32464,"Patrick Peterson","Arizona Cardinals","crd",2011,16,0,1,"achilles",16,16,"DEF",2011,1,5,73,198,"1990-07-11",4.31,6.58,15,126,72,219,4.07,38,1,0,0,0,0,0,0,0,1
"2755",32470,"Joey Porter","Arizona Cardinals","crd",2011,16,10,14,"knee",2,16,"DEF",1999,3,73,75,248,"1977-03-22",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0
"2756",32477,"Kerry Rhodes","Arizona Cardinals","crd",2011,16,9,10,"foot ankle",6,16,"DEF",2005,4,123,75,212,"1982-08-02",4.56,6.94,12,123,74,209,4.12,42,1,0,0,0,0,0,0,0,2
"2757",32489,"DeMarco Sampson","Arizona Cardinals","crd",2011,16,4,8,"hamstring  ribs",1,16,"WR",2011,7,249,74,201,"1985-12-19",4.41,0,14,0,74,204,0,0,0,0,0,1,0,0,0,1,0
"2758",32505,"Lyle Sendlein","Arizona Cardinals","crd",2011,16,0,1,"elbow",5,5,"OL",NA,NA,NA,75,299,"1984-03-16",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0
"2759",32520,"Anthony Sherman","Arizona Cardinals","crd",2011,16,1,3,"ankle",8,10,"RB",2011,5,136,70,242,"1988-12-11",4.74,7.23,32,111,70,242,4.41,32.5,1,0,0,0,0,0,0,0,1
"2760",32528,"John Skelton","Arizona Cardinals","crd",2011,16,1,1,"ankle",1,1,"QB",2010,5,155,77,244,"1988-03-17",4.85,7.17,0,108,77,243,4.33,33.5,1,0,0,0,0,0,0,0,1
"2761",32543,"Alfonso Smith","Arizona Cardinals","crd",2011,16,1,2,"hamstring  back",1,15,"RB",NA,NA,NA,73,208,"1987-01-23",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0
"2762",32557,"LaRod Stephens-Howling","Arizona Cardinals","crd",2011,16,2,10,"hand shoulder hamstring",2,16,"RB",2009,7,240,67,180,"1987-04-26",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,1,0
"2763",32566,"Chansi Stuckey","Arizona Cardinals","crd",2011,16,3,3,"hamstring",3,5,"WR",2007,7,235,70,182,"1983-10-04",4.56,6.91,0,120,71,197,4.14,35,0,0,0,0,0,0,0,1,0
"2764",32567,"Greg Toler","Arizona Cardinals","crd",2011,16,16,16,"knee",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"2765",32583,"Reggie Walker","Arizona Cardinals","crd",2011,16,0,1,"hamstring",12,12,"DEF",NA,NA,NA,72,238,"1986-12-15",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"2766",32598,"Daryl Washington","Arizona Cardinals","crd",2011,16,1,2,"calf",2,3,"DEF",2010,2,47,74,226,"1986-10-09",4.58,0,17,114,74,230,0,31,1,0,0,0,0,0,0,1,0
"2767",32613,"Beanie Wells","Arizona Cardinals","crd",2011,16,2,12,"hamstring knee knee thumb hamstring",3,16,"RB",2009,1,31,73,235,"1988-08-07",4.38,0,25,128,73,235,0,33.5,0,0,0,0,0,0,1,4,0
"2768",32623,"Dan Williams","Arizona Cardinals","crd",2011,16,6,6,"arm",11,16,"DEF",2010,1,26,74,330,"1987-06-01",5.19,7.88,27,96,74,327,4.87,32,1,0,0,0,0,1,0,0,0
"2769",32624,"Ryan Williams","Arizona Cardinals","crd",2011,16,16,16,"knee",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"2770",32640,"Adrian Wilson","Arizona Cardinals","crd",2011,16,0,1,"bicep",1,1,"DEF",2001,3,64,75,230,"1979-10-12",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0
"2771",32641,"Floyd Womack","Arizona Cardinals","crd",2011,16,16,16,"shoulder",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"2772",32656,"Dave Zastudil","Arizona Cardinals","crd",2011,16,1,6,"calf knee biceps",2,15,"P",2002,4,112,75,220,"1978-10-26",5.26,0,0,0,75,222,0,0,0,0,0,0,0,1,0,2,0
"2773",32672,"John Abraham","Atlanta Falcons","atl",2011,17,1,4,"thigh hip groin",3,7,"DEF",2000,1,13,76,263,"1978-05-06",4.55,0,0,0,76,252,0,0,1,0,0,0,1,0,0,2,0
"2774",32686,"Jonathan Babineaux","Atlanta Falcons","atl",2011,17,3,9,"knee shoulder knee  ankle hamstring",1,17,"DEF",2005,2,59,74,300,"1981-10-12",4.87,7.7,21,109,74,286,4.57,29.5,1,0,1,0,0,0,0,3,1
"2775",32699,"Sam Baker","Atlanta Falcons","atl",2011,17,4,8,"ankle back",4,13,"OL",2008,1,21,77,308,"1985-05-30",5.5,0,28,0,77,309,0,0,0,0,0,1,0,0,0,0,1
"2776",32716,"Justin Blalock","Atlanta Falcons","atl",2011,17,0,1,"ankle",11,11,"OL",2007,2,39,75,320,"1983-12-20",5.1,7.75,40,101,75,320,4.72,28.5,1,0,0,0,0,0,0,0,1
"2777",32717,"Rob Bruggeman","Atlanta Falcons","atl",2011,17,0,1,"concussion",1,1,"OL",NA,NA,NA,76,290,"1986-03-21",5.05,0,30,0,76,293,0,0,0,1,0,0,0,0,0,0,0
"2778",32733,"Matt Bryant","Atlanta Falcons","atl",2011,17,0,1,"illness",14,14,"K",NA,NA,NA,69,203,"1975-05-29",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2779",32750,"Tyson Clabo","Atlanta Falcons","atl",2011,17,0,2,"elbow  illness",1,14,"OL",NA,NA,NA,78,315,"1981-10-17",5.51,8.09,24,100,79,315,4.88,30,1,0,0,0,0,1,0,0,0
"2780",32760,"Mike Cox","Atlanta Falcons","atl",2011,17,0,1,"finger",17,17,"RB",NA,NA,NA,72,259,"1985-07-11",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0
"2781",32777,"Harry Douglas","Atlanta Falcons","atl",2011,17,0,7,"concussion thigh groin groin shoulder",2,17,"WR",2008,3,84,72,183,"1984-09-16",4.51,6.57,0,120,71,176,4.12,31,0,1,1,0,0,0,0,3,0
"2782",32794,"Ray Edwards","Atlanta Falcons","atl",2011,17,0,6,"foot thigh knee shoulder neck groin",3,16,"DEF",2006,4,127,77,268,"1985-01-01",4.81,7.71,30,114,77,273,4.57,39,1,1,1,0,0,0,0,3,1
"2783",32811,"Tony Gonzalez","Atlanta Falcons","atl",2011,17,0,4,"elbow back",6,9,"TE",1997,1,13,77,247,"1976-02-27",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0
"2784",32823,"Brent Grimes","Atlanta Falcons","atl",2011,17,5,8,"knee",9,17,"DEF",NA,NA,NA,70,185,"1983-07-19",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0
"2785",32840,"Joe Hawley","Atlanta Falcons","atl",2011,17,0,1,"ankle",13,13,"OL",2010,4,117,75,302,"1988-10-22",5.21,7.5,35,105,75,297,4.73,26,1,0,0,0,0,0,0,0,1
"2786",32848,"Kelvin Hayden","Atlanta Falcons","atl",2011,17,8,9,"hamstring foot leg toe",3,17,"DEF",2005,2,60,72,195,"1983-07-23",4.45,6.87,17,111,70,197,3.9,34,0,0,0,0,0,0,0,2,2
"2787",32865,"Peria Jerry","Atlanta Falcons","atl",2011,17,0,1,"calf",17,17,"DEF",2009,1,24,73,290,"1984-08-23",4.98,0,0,0,74,299,0,0,0,0,0,0,0,0,0,1,0
"2788",32867,"Mike Johnson","Atlanta Falcons","atl",2011,17,10,10,"foot",8,17,"OL",2010,3,98,78,301,"1987-04-02",5.37,8.15,0,91,77,312,5.01,25,0,0,0,0,0,0,0,0,1
"2789",32881,"Julio Jones","Atlanta Falcons","atl",2011,17,3,10,"hamstring back ankle thumb",6,17,"WR",2011,1,6,75,220,"1989-02-08",4.34,6.66,17,135,75,220,4.25,38.5,1,0,0,1,0,0,1,1,1
"2790",32898,"Reggie Kelly","Atlanta Falcons","atl",2011,17,0,2,"back",16,17,"TE",1999,2,42,76,257,"1977-02-22",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0
"2791",32915,"Curtis Lofton","Atlanta Falcons","atl",2011,17,0,7,"foot groin ankle",4,17,"DEF",2008,2,37,74,238,"1986-06-02",4.79,7.69,23,105,72,246,4.56,24.5,1,0,0,0,0,0,0,1,2
"2792",32916,"Cliff Matthews","Atlanta Falcons","atl",2011,17,3,3,"knee",4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"2793",32930,"Todd McClure","Atlanta Falcons","atl",2011,17,3,6,"knee",1,7,"OL",1999,7,237,73,296,"1977-02-16",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0
"2794",32942,"Kerry Meier","Atlanta Falcons","atl",2011,17,3,3,"groin",15,17,"WR",2010,5,165,74,219,"1986-11-12",4.62,0,13,115,74,224,4.23,35,0,0,0,0,0,0,0,1,0
"2795",32955,"William Moore","Atlanta Falcons","atl",2011,17,3,6,"neck neck shoulder thigh groin",5,17,"DEF",2009,2,55,72,223,"1985-05-18",4.49,6.81,16,123,72,221,4.26,37,1,2,1,0,0,0,0,2,0
"2796",32962,"Ovie Mughelli","Atlanta Falcons","atl",2011,17,10,11,"knee",2,17,"RB",2003,4,134,73,250,"1980-06-10",4.73,7.78,0,114,73,255,4.32,31.5,1,0,0,0,0,0,0,1,0
"2797",32972,"Stephen Nicholas","Atlanta Falcons","atl",2011,17,7,9,"calf quadricep toe",3,17,"DEF",2007,4,109,74,225,"1983-05-01",4.64,7.29,29,110,73,232,4.45,33.5,1,0,0,0,0,0,0,2,1
"2798",32987,"Chris Owens","Atlanta Falcons","atl",2011,17,2,10,"knee ankle concussion hand",2,17,"DEF",2009,3,90,70,182,"1986-12-01",4.44,6.93,14,110,70,181,4.16,34.5,1,1,0,0,0,0,1,1,1
"2799",33004,"Michael Palmer","Atlanta Falcons","atl",2011,17,0,3,"ankle knee",5,17,"TE",NA,NA,NA,77,260,"1988-01-18",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1
"2800",33020,"Corey Peters","Atlanta Falcons","atl",2011,17,1,6,"knee back",1,15,"DEF",2010,3,83,75,335,"1988-06-08",4.98,7.56,NA,98,75,300,4.76,33,1,0,0,1,0,0,0,1,0
"2801",33035,"Mike Peterson","Atlanta Falcons","atl",2011,17,2,2,"triceps",16,17,"DEF",1999,2,36,73,233,"1976-06-17",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0
"2802",33052,"Garrett Reynolds","Atlanta Falcons","atl",2011,17,0,2,"ankle",6,7,"OL",2009,5,156,79,310,"1987-07-01",5.32,7.87,19,94,80,309,4.88,22,0,0,0,0,0,0,0,0,1
"2803",33069,"Dunta Robinson","Atlanta Falcons","atl",2011,17,0,3,"hamstring  thigh neck",1,12,"DEF",2004,1,10,70,183,"1982-04-11",4.34,6.97,15,120,71,186,3.75,36,1,1,0,0,0,0,0,2,0
"2804",33086,"Matt Ryan","Atlanta Falcons","atl",2011,17,0,1,"knee",3,3,"QB",2008,1,3,76,217,"1985-05-17",4.89,7.4,NA,NA,77,228,4.51,NA,1,0,0,0,0,0,0,1,0
"2805",33102,"James Sanders","Atlanta Falcons","atl",2011,17,1,2,"hamstring",6,7,"DEF",2005,4,133,70,210,"1983-11-11",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"2806",33119,"Shann Schillinger","Atlanta Falcons","atl",2011,17,0,1,"neck",3,3,"DEF",2010,6,171,73,199,"1986-05-22",NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
"2807",33136,"Lawrence Sidbury","Atlanta Falcons","atl",2011,17,0,1,"ankle",1,1,"DEF",2009,4,125,74,267,"1986-02-06",4.53,7.46,28,120,74,266,4.43,35,0,0,0,0,0,0,0,0,1
"2808",33149,"Antone Smith","Atlanta Falcons","atl",2011,17,0,1,"knee",10,10,"RB",NA,NA,NA,69,190,"1985-09-17",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"2809",33165,"Jason Snelling","Atlanta Falcons","atl",2011,17,1,5,"concussion hamstring illness knee",4,17,"RB",2007,7,244,71,235,"1983-12-29",4.79,7.06,0,111,71,230,4.37,30,0,1,0,0,0,0,0,2,0
"2810",33182,"Will Svitek","Atlanta Falcons","atl",2011,17,0,4,"groin",13,16,"OL",2005,6,187,78,305,"1982-01-08",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0
"2811",33199,"Michael Turner","Atlanta Falcons","atl",2011,17,0,6,"groin",12,17,"RB",2004,5,154,70,244,"1982-02-13",4.49,7.5,22,114,70,237,4.15,31,1,0,0,0,0,0,0,1,0
"2812",33216,"Vance Walker","Atlanta Falcons","atl",2011,17,0,2,"groin",12,13,"DEF",2009,7,210,74,295,"1987-04-26",5.32,0,29,0,74,304,0,33,0,0,0,0,0,0,0,1,0
"2813",33233,"Sean Weatherspoon","Atlanta Falcons","atl",2011,17,0,1,"head",17,17,"DEF",2010,1,19,73,241,"1987-12-29",4.62,6.99,34,123,73,239,4.38,40,1,1,0,0,0,0,0,0,0
"2814",33250,"Roddy White","Atlanta Falcons","atl",2011,17,0,9,"thigh knee  shoulder hip",1,17,"WR",2005,1,27,72,211,"1981-11-02",4.46,0,0,0,73,207,0,0,1,0,1,0,1,0,0,2,0
"2815",33255,"Anthony Allen","Baltimore Ravens","rav",2011,18,10,10,"thigh",6,15,"RB",2011,7,225,72,223,"1988-08-06",4.56,6.79,24,120,73,228,4.06,41.5,0,0,0,0,0,0,0,1,0
"2816",33273,"Brendon Ayanbadejo","Baltimore Ravens","rav",2011,18,0,2,"concussion thigh",9,17,"DEF",NA,NA,NA,73,225,"1976-09-06",NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0
"2817",33291,"Matt Birk","Baltimore Ravens","rav",2011,18,0,5,"knee hamstring neck shoulder",3,13,"OL",1998,6,173,76,310,"1976-07-23",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,2,0
"2818",33307,"Anquan Boldin","Baltimore Ravens","rav",2011,18,2,3,"knee",15,17,"WR",2003,2,54,73,220,"1980-10-03",4.72,7.35,0,114,73,216,4.33,33.5,1,0,0,0,0,0,0,1,0
"2819",33314,"Chykie Brown","Baltimore Ravens","rav",2011,18,3,3,"illness knee",7,9,"DEF",2011,5,164,72,185,"1986-12-26",4.49,6.5,0,120,71,190,4,36.5,0,0,0,0,0,0,0,1,0
"2820",33317,"Prescott Burgess","Baltimore Ravens","rav",2011,18,11,11,"abdomen",8,18,"DEF",2007,6,207,75,246,"1984-03-06",4.82,7.01,19,106,75,240,4.31,32.5,0,0,0,1,0,0,0,0,0
"2821",33327,"Chris Carr","Baltimore Ravens","rav",2011,18,7,10,"hamstring thigh back",2,15,"DEF",NA,NA,NA,70,182,"1983-04-30",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2,0
"2822",33345,"Terrence Cody","Baltimore Ravens","rav",2011,18,0,1,"head",3,3,"DEF",2010,2,57,76,370,"1988-06-28",5.71,8.19,0,90,76,354,5.03,20.5,1,1,0,0,0,0,0,0,0
"2823",33362,"Billy Cundiff","Baltimore Ravens","rav",2011,18,1,4,"calf",13,16,"K",NA,NA,NA,73,212,"1980-03-30",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"2824",33373,"Dannell Ellerbe","Baltimore Ravens","rav",2011,18,7,11,"hamstring thigh concussion",4,17,"DEF",NA,NA,NA,73,236,"1985-11-29",4.63,7,0,118,73,236,4.23,35,1,1,0,0,0,0,0,2,0
"2825",33384,"Lee Evans","Baltimore Ravens","rav",2011,18,7,9,"ankle",2,10,"WR",2004,1,13,70,209,"1981-03-11",4.39,0,0,120,71,197,0,34.5,0,0,0,0,0,0,0,0,1
"2826",33386,"Domonique Foxworth","Baltimore Ravens","rav",2011,18,15,15,"knee",4,18,"DEF",2005,3,97,71,180,"1983-03-27",4.34,6.78,14,125,71,184,3.89,41,0,0,0,0,0,0,0,1,0
"2827",33399,"Danny Gorrer","Baltimore Ravens","rav",2011,18,1,2,"thigh",7,8,"DEF",NA,NA,NA,72,173,"1986-06-01",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"2828",33411,"Ben Grubbs","Baltimore Ravens","rav",2011,18,6,10,"thigh toe",1,14,"OL",2007,1,29,75,311,"1984-03-10",5.18,7.99,29,103,75,311,4.72,26.5,1,0,0,0,0,0,0,1,1
"2829",33412,"Ramon Harewood","Baltimore Ravens","rav",2011,18,18,18,"ankle",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1
"2830",33430,"Jarret Johnson","Baltimore Ravens","rav",2011,18,0,1,"back",6,6,"DEF",2003,4,109,75,260,"1981-08-14",5.07,7.72,21,107,75,284,4.58,28.5,1,0,0,1,0,0,0,0,0
"2831",33446,"Arthur Jones","Baltimore Ravens","rav",2011,18,2,4,"head illness",10,16,"DEF",2010,5,157,75,301,"1986-06-30",5.04,0,0,0,75,301,0,0,0,1,0,0,0,0,0,0,0
"2832",33447,"Matt Lawrence","Baltimore Ravens","rav",2011,18,18,18,"concussion",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0
"2833",33465,"Vonta Leach","Baltimore Ravens","rav",2011,18,0,1,"foot",2,2,"RB",NA,NA,NA,72,260,"1981-11-06",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1
"2834",33466,"Ray Lewis","Baltimore Ravens","rav",2011,18,4,5,"foot",10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1
"2835",33467,"Michael McAdoo","Baltimore Ravens","rav",2011,18,12,12,"undisclosed",2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"2836",33485,"Jameel McClain","Baltimore Ravens","rav",2011,18,0,1,"knee",17,17,"DEF",NA,NA,NA,73,245,"1985-07-25",4.74,7.12,24,110,73,249,4.31,26,0,0,0,0,0,0,0,1,0
"2837",33502,"Haruki Nakamura","Baltimore Ravens","rav",2011,18,1,3,"knee thigh",4,11,"DEF",2008,6,206,70,190,"1986-04-18",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,0
"2838",33520,"Haloti Ngata","Baltimore Ravens","rav",2011,18,0,2,"thigh back",8,14,"DEF",2006,1,12,76,340,"1984-01-21",5.13,7.95,37,110,76,338,4.65,31.5,1,0,0,1,0,0,0,1,0
"2839",33521,"Marcus Paschal","Baltimore Ravens","rav",2011,18,18,18,"quadriceps",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"2840",33522,"Jason Phillips","Baltimore Ravens","rav",2011,18,2,2,"concussion",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0
"2841",33540,"Bernard Pollard","Baltimore Ravens","rav",2011,18,0,1,"illness",16,16,"DEF",2006,2,54,73,225,"1984-12-23",4.57,0,0,131,74,224,0,36.5,1,0,0,0,0,0,0,0,0
