"","name","position","height","weight","birthday","birthplace","college","Player_id","first_year","last_year"
"960","Jordan Cameron","TE","6-5",265,"1988-08-07","in Newbury Park, CA","USC (College Stats)","CameJo00",2011,2016
"961","Michael Campanaro","WR","5-9",191,"1991-01-25","in Silver Spring, MD","Wake Forest (College Stats)","CampMi02",2014,2017
"962","Bruce Campbell","T","6-7",310,"1988-05-25","in Hamden, CT","Maryland (College Stats)","CampBr20",2010,2012
"963","Calais Campbell","DE","6-8",300,"1986-09-01","in Denver, CO","Miami (FL) (College Stats)","CampCa99",2008,2021
"964","Caleb Campbell","DB","6-2",229,"1984-09-14","in Perrytown, TX","Army (College Stats)","CampCa00",2010,2010
"965","D.J. Campbell","FS","6-0",201,"1989-07-24","in Las Vegas, NV","California (College Stats)",NA,2012,2013
"966","De'Vondre Campbell","OLB","6-3",232,"1993-07-01","in Fort Myers, FL","Minnesota (College Stats)","CampDe00",2016,2021
"967","Elijah Campbell","DB","5-11",190,"1995-08-24","in St. Paul, MN","Northern Illinois, Northern Iowa (College Stats)","CampEl00",2020,2021
"968","Ibraheim Campbell","SS","5-11",210,"1992-05-13","in Philadelphia, PA","Northwestern (College Stats)","CampIb00",2015,2021
"969","Jason Campbell","QB Throws: Right","6-5",235,"1981-12-31","in Laurel, MS","Auburn (College Stats)","CampJa00",2006,2014
"970","Khary Campbell","MLB","6-2",224,"1979-04-04","in Brooklyn, NY","Bowling Green (College Stats)","CampKh20",2002,2009
"971","Michael Campbell","WR","6-2",205,"1989-08-12","in Edison, NJ","Temple (College Stats)","CampMi01",2013,2013
"972","Parris Campbell","WR","6-0",208,"1997-07-16","in Akron, OH","Ohio St. (College Stats)","CampPa00",2019,2021
"973","Tevaughn Campbell","DB","6-0",200,"1993-06-14","in Toronto, Ontario","Regina","CampTe00",2020,2021
"974","Tommie Campbell","DB","6-2",207,"1987-09-19","in Aliquippa, PA","Pittsburgh, California (PA) (College Stats)","CampTo00",2011,2014
"975","Tyson Campbell","CB","6-1",195,"2000-03-17","in Plantation, FL","Georgia (College Stats)","CampTy01",2021,2021
"976","Kameron Canaday","LS","6-4",245,"1993-08-20","in Eugene, OR","Portland St.","CanaKa00",2016,2020
"977","Maurice Canady","CB","6-1",193,"1994-05-26","in Richmond, VA","Virginia (College Stats)","CanaMa00",2016,2021
"978","A.J. Cann","OG","6-3",315,"1991-10-23","in Bamberg, SC","South Carolina (College Stats)",NA,2015,2021
"979","Marcus Cannon","OL","6-6",335,"1988-05-06","in Odessa, TX","TCU (College Stats)","CannMa00",2011,2021
"980","Trenton Cannon","RB","5-11",185,"1994-07-23","in Hampton, VA","Virginia St.","CannTr00",2018,2021
"981","Chris Canty","DE","6-7",317,"1982-11-10","in Bronx, NY","Virginia","CantCh21",2005,2015
"982","Selvish Capers","T","6-5",304,"1985-11-13","in Kenner, LA","West Virginia (College Stats)","CapeSe20",2012,2012
"983","Nordly Capi","LB","6-3",249,"1992-07-11","in Ocoee, FL","Colorado St., Akron","CapiNo00",2017,2017
"984","Alex Cappa","OT","6-6",305,"1995-01-27","in Dublin, CA","Humboldt St.","CappAl00",2018,2021
"985","Tank Carder","ILB","6-2",235,"1989-01-18","in Lake Jackson, TX","TCU (College Stats)","CardTa00",2012,2016
"986","Joe Cardona","LS","6-3",245,"1992-04-16","in El Cajon, CA","Navy (College Stats)","CardJo00",2015,2021
"987","Don Carey","DB","5-11",202,"1987-02-14","in Grand Rapids, MI","Norfolk St.","CareDo00",2010,2018
"988","Ka'Deem Carey","RB","5-9",207,"1992-10-30","in Tucson, AZ","Arizona (College Stats)","CareKa00",2014,2016
"989","Vernon Carey","T-G","6-5",340,"1981-07-31","in Miami, FL","Miami (FL)","CareVe20",2004,2011
"990","Steve Cargile","DB","6-2",212,"1982-06-02","in Cleveland, OH","Columbia","CargSt20",2006,2009
"991","Gabe Carimi","OL","6-7",315,"1988-06-13","in Cottage Grove, WI","Wisconsin (College Stats)","CariGa00",2011,2014
"992","Cooper Carlisle","G-T","6-5",310,"1977-08-11","in Greenville, MS","Florida","CarlCo20",2000,2012
"993","Daniel Carlson","K","6-5",215,"1995-01-23","in Colorado Springs, CO","Auburn (College Stats)","CarlDa00",2018,2021
"994","John Carlson","TE","6-5",256,"1984-05-12","in St. Cloud, MN","Notre Dame (College Stats)","CarlJo00",2008,2014
"995","Stephen Carlson","TE","6-4",240,"1996-12-12","in Jamestown, NY","Princeton","CarlSt00",2019,2020
"996","Jackson Carman","G","6-5",330,"2000-01-22","in Fairfield, OH","Clemson (College Stats)","CarmJa00",2021,2021
"997","Roc Carmichael","CB","5-10",185,"1988-09-09","in Laurinburg, NC","Virginia Tech (College Stats)","CarmRo00",2012,2013
"998","John Carney","K","5-11",185,"1964-04-20","in Hartford, CT","Notre Dame","carnejoh01",1988,2010
"999","Bobby Carpenter","LB","6-2",249,"1983-08-01","in Lancaster, OH","Ohio St. (College Stats)","CarpBo20",2006,2012
"1000","Dan Carpenter","K","6-2",216,"1985-11-25","in Omaha, NE","Montana","CarpDa44",2008,2016
"1001","James Carpenter","LG","6-5",321,"1989-03-22","in Augusta, GA","Alabama (College Stats)","CarpJa00",2011,2020
"1002","Rudy Carpenter","QB Throws: Right","6-3",225,"1986-04-15","in Westlake Village, CA","Arizona St. (College Stats)","CarpRu00",2011,2011
"1003","Austin Carr","WR","6-1",195,"1993-12-25","in Santa Monica, CA","Northwestern (College Stats)","CarrAu00",2017,2020
"1004","Brandon Carr","DB","6-0",210,"1986-05-19","in Flint, MI","Grand Valley St.","CarrBr99",2008,2020
"1005","Chris Carr","DB","5-10",182,"1983-04-30","in Reno, NV","Boise St. (College Stats)","CarrCh22",2005,2013
"1006","David Carr","QB Throws: Right","6-3",212,"1979-07-21","in Bakersfield, CA","Fresno St. (College Stats)","CarrDa00",2002,2012
"1007","Derek Carr","QB Throws: Right","6-3",210,"1991-03-28","in Fresno, CA","Fresno St. (College Stats)","CarrDe02",2014,2021
"1008","Deveron Carr","CB","5-11",190,"1990-08-10","in Phoenix, AZ","Arizona St. (College Stats)","CarrDe01",2013,2013
"1009","Tank Carradine","DE","6-4",267,"1990-02-18","in Cincinnati, OH","Florida St. (College Stats)","CarrCo00",2014,2019
"1010","Josh Carraway","DE","6-3",242,"1994-04-13","in Flower Mound, TX","TCU (College Stats)","CarrJo00",2017,2017
"1011","Ryan Carrethers","DT","6-1",337,"1991-02-26","in Nashville, TN","Arkansas St. (College Stats)","CarrRy00",2014,2016
"1012","T.J. Carrie","CB","6-0",204,"1990-07-28","in Antioch, CA","Ohio (College Stats)","CarrTr00",2014,2021
"1013","Derek Carrier","TE","6-3",240,"1990-07-25","in Edgerton, WI","Beloit","CarrDe00",2013,2021
"1014","Adam Carriker","DE","6-6",296,"1984-05-06","in Hastings, NE","Nebraska (College Stats)","CarrAd99",2007,2012
"1015","Alex Carrington","DE","6-5",284,"1987-06-19","in Tupelo, MS","Arkansas St. (College Stats)","CarrAl99",2010,2015
"1016","Ahmad Carroll","DB","5-10",190,"1983-08-03","in Atlanta, GA","Arkansas (College Stats)","CarrAh20",2004,2009
"1017","Nolan Carroll","DB","6-1",202,"1987-01-16","in Jacksonville, FL","Maryland (College Stats)","CarrNo00",2010,2017
"1018","Leonte Carroo","WR","6-1",215,"1994-01-24","in Edison, NJ","Rutgers (College Stats)","CarrLe00",2016,2018
"1019","Chris Carson","RB","5-11",222,"1994-09-16","in Biloxi, MS","Butler (KS), Oklahoma St. (College Stats)","CarsCh00",2017,2021
"1020","Glenn Carson","ILB","6-3",235,"1990-12-05","in Manahawkin, NJ","Penn St. (College Stats)","CarsGl01",2014,2014
"1021","Tra Carson","HB","5-11",228,"1992-10-24","in Texarkana, TX","Texas A&M (College Stats)","CarsTr01",2018,2019
"1022","Alex Carter","CB","6-0",201,"1994-10-19","in Fairfax, VA","Stanford (College Stats)","CartAl01",2016,2018
"1023","Andre Carter","DE-LB","6-4",260,"1979-05-12","in Denver, CO","California (College Stats)","CartAn20",2001,2013
"1024","Brandon Carter","G","6-6",319,"1986-09-10","in Lakewood, NJ","Texas Tech (College Stats)","CartBr20",2010,2011
"1025","Bruce Carter","MLB","6-2",240,"1988-02-19","in Havelock, NC","North Carolina (College Stats)","CartBr00",2011,2018
"1026","Cethan Carter","TE","6-3",248,"1995-09-05","in New Orleans, LA","Nebraska (College Stats)","CartCe00",2017,2021
"1027","Chris Carter","ROLB","6-1",245,"1989-04-06","in Fontana, CA","Fresno St. (College Stats)","CartCh00",2011,2017
"1028","David Carter","DT","6-4",297,"1987-12-10","in Los Angeles, CA","UCLA (College Stats)","CartDa01",2011,2013
"1029","DeAndre Carter","WR","5-8",188,"1993-04-10","in San Jose, CA","Sacramento St.","CartDe02",2018,2021
"1030","Delone Carter","RB","5-9",225,"1987-06-22","in Akron, OH","Syracuse (College Stats)","CartDe01",2011,2013
"1031","Jamal Carter","S","6-1",215,"1994-04-12","in Naranja, FL","Miami (FL) (College Stats)","CartJa02",2017,2021
"1032","Jermaine Carter Jr.","LB","6-1",225,"1995-01-14","in Fort Washington, MD","Maryland (College Stats)","CartJe00",2018,2021
"1033","Kyle Carter","TE","6-3",245,"1992-12-17","in New Castle, DE","Penn St. (College Stats)","CartKy01",2017,2017
"1034","Lorenzo Carter","DE","6-5",255,"1995-12-10","in Atlanta, GA","Georgia (College Stats)","CartLo01",2018,2021
"1035","Michael Carter","CB","5-10",184,"1999-03-08","in Douglasville, GA","Duke (College Stats)","CartMi02",2021,2021
"1036","Michael Carter","RB","5-8",201,"1999-05-07","in Navarre, FL","North Carolina (College Stats)","CartMi03",2021,2021
"1037","Quinton Carter","DB","6-1",211,"1988-07-20","in Las Vegas, NV","Oklahoma (College Stats)","CartQu01",2011,2014
"1038","Ron'Dell Carter","DE","6-3",269,"1997-07-03","in Baltimore, MD","James Madison","CartRo02",2020,2020
"1039","Tim Carter","WR","6-0",187,"1979-09-21","in Atlanta, GA","Auburn (College Stats)","CartTi00",2002,2009
"1040","Todd Carter","K","6-1",190,"1986-06-07","in Flint, MI","Grand Valley St.","CartTo21",2010,2010
"1041","Tony Carter","DB","5-9",177,"1986-05-24","in Tallahassee, FL","Florida St. (College Stats)","CartTo99",2009,2015
"1042","Tory Carter","FB","6-0",244,"1999-03-16","","LSU (College Stats)","CartTo01",2021,2021
"1043","Tyrone Carter","DB","5-8",190,"1976-03-31","in Pompano Beach, FL","Minnesota (College Stats)","CartTy20",2000,2010
"1044","Rock Cartwright","FB","5-8",215,"1979-12-03","in Conroe, TX","Kansas St. (College Stats)","CartRo01",2002,2011
"1045","Chance Casey","CB","5-11",190,"1991-03-11","in Southlake, TX","Baylor (College Stats)","CaseCh00",2013,2014
"1046","James Casey","TE","6-3",235,"1984-09-22","in Fort Worth, TX","Rice (College Stats)","CaseJa00",2009,2015
"1047","Jurrell Casey","DL","6-1",305,"1989-12-05","in Long Beach, CA","USC (College Stats)","CaseJu00",2011,2020
"1048","Jeremy Cash","LB","6-0",230,"1992-12-06","in Miami, FL","Duke (College Stats)","CashJe00",2016,2017
"1049","Blake Cashman","LB","6-1",237,"1996-05-10","in Eden Prairie, MN","Minnesota (College Stats)","CashBl00",2019,2021
"1050","Jonathan Casillas","MLB","6-0",225,"1987-06-03","in Jersey City, NJ","Wisconsin (College Stats)","CasiJo99",2009,2017
"1051","Antoine Cason","DB","6-0",190,"1986-07-09","in Long Beach, CA","Arizona (College Stats)","CasoAn99",2008,2014
"1052","Matt Cassel","QB Throws: Right","6-4",225,"1982-05-17","in Northridge, CA","USC (College Stats)","CassMa00",2005,2018
"1053","Simeon Castille","DB","6-0",190,"1985-10-12","in Phenix City, AL","Alabama (College Stats)","CastSi20",2008,2009
"1054","Tim Castille","RB","5-11",242,"1984-05-29","in Phenix City, AL","Alabama (College Stats)","CastTi20",2008,2010
"1055","Luis Castillo","DE-DT","6-3",290,"1983-08-04","in Brooklyn, NY","Northwestern","CastLu20",2005,2011
"1056","Sergio Castillo","K","5-11",195,"1990-11-01","in La Joya, TX","West Texas A&M","CastSe00",2020,2020
"1057","Anthony Castonzo","LT","6-7",307,"1988-08-09","in Hawthorn Woods, IL","Boston Col. (College Stats)","CastAn00",2011,2020
"1058","Tyler Catalina","OG","6-6",315,"1993-01-24","in Worcester, MA","Georgia (College Stats)","CataTy00",2017,2017
"1059","Chandler Catanzaro","K","6-3",200,"1991-02-26","in Greenville, SC","Clemson (College Stats)","CataCh00",2014,2018
"1060","Mike Catapano","DE","6-4",270,"1990-08-17","in Bayville, NJ","Princeton","CataMi00",2013,2016
"1061","Sean Cattouse","FS","6-2",206,"1988-10-04","in Chicago, IL","California (College Stats)","CattSe00",2012,2013
"1062","Jehuu Caulcrick","RB","6-0",255,"1983-08-06","in Liberia","Michigan St. (College Stats)","CaulJe00",2010,2010
"1063","Mike Caussin","TE","6-5",252,"1987-02-26","in Springfield, VA","James Madison","CausMi00",2011,2011
"1064","Brent Celek","TE","6-4",261,"1985-01-25","in Cincinnati, OH","Cincinnati (College Stats)","CeleBr00",2007,2017
"1065","Garrett Celek","TE","6-5",252,"1988-05-29","in Cincinnati, OH","Michigan St. (College Stats)","CeleGa00",2012,2019
"1066","Quintez Cephus","WR","6-1",208,"1998-04-01","in Macon, GA","Wisconsin (College Stats)","CephQu00",2020,2021
"1067","Jacques Cesaire","DE-DT","6-2",295,"1980-08-30","in Worcester, MA","Southern Connecticut St.","CesaJa20",2003,2011
"1068","Andre Chachere","CB","6-0",200,"1996-02-10","in Fresno, CA","San Jose St. (College Stats)","ChacAn00",2021,2021
"1069","K'Lavon Chaisson","LB","6-3",254,"1999-07-25","in Houston, TX","LSU (College Stats)","ChaiKL00",2020,2021
"1070","Chris Chamberlain","LB","6-2",226,"1985-09-30","in Bethany, OK","Tulsa (College Stats)","ChamCh99",2008,2011
"1071","Chris Chambers","WR","5-11",210,"1978-08-12","in Cleveland, OH","Wisconsin (College Stats)","ChamCh00",2001,2010
"1072","Kirk Chambers","T","6-7",315,"1979-03-19","in Provo, UT","Stanford","ChamKi20",2004,2011
"1073","Kam Chancellor","DB","6-3",225,"1988-04-03","in Norfolk, VA","Virginia Tech (College Stats)","ChanKa99",2010,2017
"1074","Nate Chandler","DT","6-4",294,"1989-06-01","in San Diego, CA","UCLA (College Stats)","ChanNa00",2012,2014
"1075","Scott Chandler","TE","6-7",270,"1985-07-23","in Bedford, TX","Iowa (College Stats)","ChanSc00",2007,2015
"1076","Sean Chandler","FS","5-10",200,"1996-04-27","in Camden, NJ","Temple (College Stats)","ChanSe00",2018,2021
"1077","Jamar Chaney","MLB","6-1",242,"1986-10-11","in Fort Pierce, FL","Mississippi St. (College Stats)","ChanJa98",2010,2014
"1078","Shaun Chapas","RB","6-2",236,"1988-05-02","in St. Augustine, FL","Georgia (College Stats)","ChapSh00",2011,2012
"1079","Josh Chapman","DT","6-1",316,"1989-06-10","in Hoover, AL","Alabama (College Stats)","ChapJo00",2013,2014
"1080","DJ Chark","WR","6-4",198,"1996-09-23","in Alexandria, LA","LSU (College Stats)","CharDJ00",2018,2021
"1081","Jamaal Charles","RB","5-11",199,"1986-12-27","in Port Arthur, TX","Texas (College Stats)","CharJa00",2008,2018
"1082","Orson Charles","TE","6-3",257,"1991-01-27","in Tampa, FL","Georgia (College Stats)","CharOr00",2012,2018
"1083","Saahdiq Charles","OL","6-4",322,"1999-07-26","in Jackson, MS","LSU (College Stats)","CharSa00",2020,2021
"1084","Stefan Charles","DT","6-5",302,"1988-06-09","in Oshawa, Ontario","Regina","CharSt00",2013,2016
"1085","Jeff Charleston","DE","6-4",265,"1983-01-19","in Oregon City, OR","Idaho St.","CharJe99",2007,2011
"1086","Joseph Charlton","P","6-5",190,"1997-04-07","in Columbia, SC","South Carolina (College Stats)","CharJo01",2020,2021
"1087","Taco Charlton","DE","6-6",270,"1994-11-07","in Pickerington, OH","Michigan (College Stats)","CharTa00",2017,2021
"1088","Ja'Marr Chase","WR","6-1",200,"2000-03-01","in Harvey, LA","LSU (College Stats)","ChasJa00",2021,2021
"1089","Camaron Cheeseman","LS","6-4",237,"1998-04-26","in New Albany, OH","Michigan (College Stats)","CheeCa00",2021,2021
"1090","Chimdi Chekwa","DB","5-11",190,"1988-09-07","in Clermont, FL","Ohio St. (College Stats)","ChekCh00",2011,2016
"1091","Gosder Cherilus","T","6-7",315,"1984-06-28","in Haiti","Boston Col. (College Stats)","CherGo20",2008,2016
"1092","Anthony Chesley","DB","6-0",190,"1996-05-31","in Temple Hills, MD","Coastal Carolina","ChesAn00",2020,2021
"1093","Jehu Chesson","WR","6-2",204,"1993-12-29","in Monrovia, Liberia","Michigan (College Stats)","ChesJe00",2017,2018
"1094","Chris Chester","G","6-3",303,"1983-01-12","in Tustin, CA","Oklahoma (College Stats)","ChesCh21",2006,2016
"1095","John Chick","DE","6-4",250,"1982-11-20","in Gillette, WY","Utah St.","ChicJo00",2011,2012
"1096","Anthony Chickillo","DE","6-3",255,"1992-12-10","in Tampa, FL","Miami (FL) (College Stats)","ChicAn00",2015,2020
"1097","Brandon Chillar","LB","6-3",237,"1982-10-21","in Los Angeles, CA","UCLA (College Stats)","ChilBr20",2004,2010
"1098","Jeremy Chinn","S","6-3",220,"1998-02-26","in Fishers, IN","Southern Illinois","ChinJe00",2020,2021
"1099","Dan Chisena","WR","6-3",202,"1997-02-25","in Paoli, PA","Penn St. (College Stats)","ChisDa00",2020,2021
"1100","Tashard Choice","RB","5-9",210,"1984-11-20","in Lovejoy, GA","Oklahoma, Georgia Tech (College Stats)","ChoiTa00",2008,2013
"1101","Brady Christensen","T","6-6",300,"1996-09-27","in Bountiful, UT","BYU (College Stats)","ChriBr00",2021,2021
"1102","Gerald Christian","TE","6-3",250,"1991-08-26","in Palm Beach Gardens, FL","Florida, Louisville (College Stats)","ChriGe00",2016,2016
"1103","Geron Christian","OT","6-6",315,"1996-09-10","in Ocala, FL","Louisville (College Stats)","ChriGe01",2018,2021
"1104","Marqui Christian","SS","5-11",195,"1994-10-27","in Houston, TX","Midwestern St.","ChriMa00",2016,2021
"1105","Cole Christiansen","LB","6-2",225,"1997-07-30","in Suffolk, VA","Army","ChriCo00",2020,2021
"1106","Bradley Chubb","DE","6-4",275,"1996-06-24","in Marietta, GA","North Carolina St. (College Stats)","ChubBr00",2018,2021
"1107","Nick Chubb","RB","5-11",227,"1995-12-27","in Cedartown, GA","Georgia (College Stats)","ChubNi00",2018,2021
"1108","Patrick Chung","DB","5-11",215,"1987-08-19","in Kingston, Jamaica","Oregon (College Stats)","ChunPa99",2009,2019
"1109","Jordan Chunn","RB","6-0",230,"1995-01-02","in Gurley, AL","Troy","ChunJo00",2019,2019
"1110","Barry Church","DB","6-2",218,"1988-02-11","in Pittsburgh, PA","Toledo (College Stats)","ChurBa99",2010,2018
"1111","Jack Cichy","ILB","6-2",238,"1995-05-05","in Milwaukee, WI","Wisconsin (College Stats)","CichJa00",2018,2020
"1112","Andre Cisco","S","6-0",209,"2000-03-23","in Queens, NY","Syracuse (College Stats)","CiscAn00",2021,2021
"1113","Vinny Ciurciu","MLB","6-0",240,"1980-05-02","in Hackensack, NJ","Clemson, Boston Col. (College Stats)","CiurVi20",2003,2010
"1114","Tyson Clabo","T","6-6",315,"1981-10-17","in Knoxville, TN","Wake Forest","ClabTy20",2006,2014
"1115","Ryan Clady","T","6-6",315,"1986-09-06","in Long Beach, CA","Boise St. (College Stats)","CladRy20",2008,2016
"1116","Morris Claiborne","CB","5-11",192,"1990-02-07","in Shreveport, LA","LSU (College Stats)","ClaiMo00",2012,2019
"1117","Kendrick Clancy","DT","6-1",305,"1978-09-17","in Tuscaloosa, AL","Mississippi","ClanKe20",2000,2009
"1118","Will Clapp","C","6-5",311,"1995-12-10","in New Orleans, LA","LSU (College Stats)","ClapWi00",2018,2021
"1119","Brian Clark","WR","6-2",204,"1983-12-26","in Jacksonville, FL","North Carolina St. (College Stats)","ClarBr00",2006,2010
"1120","Chris Clark","T","6-5",305,"1985-10-01","in New Orleans, LA","Southern Miss","ClarCh21",2010,2019
"1121","Chuck Clark","FS","6-0",205,"1995-04-19","in Philadelphia, PA","Virginia Tech (College Stats)","ClarCh00",2017,2021
"1122","Corey Clark","T","6-5",305,"1984-06-21","in San Antonio, TX","Texas A&M","ClarCo21",2009,2009
"1123","Dallas Clark","TE","6-3",252,"1979-06-12","in Sioux Falls, SD","Iowa (College Stats)","ClarDa00",2003,2013
"1124","Danny Clark","LB","6-2",233,"1977-05-09","in Blue Island, IL","Illinois (College Stats)","ClarDa21",2000,2010
"1125","Desmond Clark","TE","6-3",249,"1977-04-20","in Bartow, FL","Wake Forest (College Stats)","ClarDe00",1999,2010
"1126","Frank Clark","DE","6-3",261,"1993-06-14","in Bakersfield, CA","Michigan (College Stats)","ClarFr01",2015,2021
"1127","Jeremy Clark","DT","6-2",305,"1983-09-06","in Daphne, AL","Alabama (College Stats)","ClarJe01",2008,2010
"1128","Jeremy Clark","CB","6-3",220,"1994-06-29","in Houma, LA","Michigan (College Stats)","ClarJe04",2017,2018
"1129","Kenny Clark","DT","6-3",314,"1995-10-04","in San Bernadino, CA","UCLA (College Stats)","ClarKe01",2016,2021
"1130","Le'Raven Clark","OT","6-5",319,"1993-04-22","in Bryan, TX","Texas Tech (College Stats)","ClarLe01",2016,2021
"1131","Michael Clark","WR","6-6",217,"1995-10-26","in Salem, MA","Marshall (College Stats)","ClarMi00",2017,2017
"1132","Ryan Clark","DB","5-11",205,"1979-10-12","in Marrero, LA","LSU (College Stats)","ClarRy20",2002,2014
"1133","Will Clarke","DE","6-6",275,"1991-05-04","in Pittsburgh, PA","West Virginia (College Stats)","ClarWi00",2014,2018
"1134","Jeromey Clary","T","6-6",320,"1983-11-05","in Norfolk, NE","Kansas St. (College Stats)","ClarJe20",2007,2013
"1135","Blaine Clausell","T","6-6",330,"1992-01-31","in Mobile, AL","Mississippi St. (College Stats)","ClauBl01",2018,2018
"1136","Jimmy Clausen","QB Throws: Right","6-3",217,"1987-09-21","in Thousand Oaks, CA","Notre Dame (College Stats)","ClauJi00",2010,2015
"1137","Ben Claxton","G","6-3",300,"1980-07-30","in Dublin, GA","Mississippi","ClaxBe20",2005,2009
"1138","Charles Clay","TE","6-3",246,"1989-02-13","in Little Rock, AR","Tulsa (College Stats)","ClayCh00",2011,2019
"1139","John Clay","RB","6-1",248,"1988-01-04","in Racine, WI","Wisconsin (College Stats)","ClayJo00",2011,2011
"1140","Kaelin Clay","WR","5-10",195,"1992-01-03","in Long Beach, CA","Utah (College Stats)","ClayKa00",2015,2018
"1141","Adrian Clayborn","DL","6-3",280,"1988-07-06","in St. Louis, MO","Iowa (College Stats)","ClayAd00",2011,2020
"1142","Chris Claybrooks","CB","5-9",179,"1997-07-17","in Nashville, TN","Memphis (College Stats)","ClayCh02",2020,2021
"1143","Chase Claypool","WR","6-4",238,"1998-07-07","in Abbotsford, British Columbia","Notre Dame (College Stats)","ClayCh01",2020,2021
"1144","Keenan Clayton","LB","6-2",220,"1987-06-19","in Sulphur Springs, TX","Oklahoma (College Stats)","ClayKe99",2010,2012
"1145","Mark Clayton","WR","5-10",190,"1982-07-02","in Oklahoma City, OK","Oklahoma (College Stats)","ClayMa01",2005,2011
"1146","Michael Clayton","WR","6-3",202,"1982-10-13","in Baton Rouge, LA","LSU (College Stats)","ClayMi00",2004,2011
"1147","Thomas Clayton","RB","5-11",225,"1984-04-26","in Alexandria, VA","Kansas St. (College Stats)","ClayTh00",2010,2011
"1148","Zach Clayton","DT","6-2",299,"1988-01-01","in Opelika, AL","Auburn (College Stats)","ClayZa00",2011,2011
"1149","Emmett Cleary","OT","6-7",320,"1990-04-27","in Tokyo, Japan","Boston Col.","CleaEm01",2016,2017
"1150","Kellen Clemens","QB Throws: Right","6-2",220,"1983-06-07","in Burns, OR","Oregon (College Stats)","ClemKe00",2006,2017
"1151","Corey Clement","RB","5-10",220,"1994-11-02","in Glassboro, NJ","Wisconsin (College Stats)","ClemCo00",2017,2021
"1152","Chunky Clements","DT","6-2",301,"1994-12-03","in Dayton, OH","Illinois (College Stats)","ClemCh00",2017,2017
"1153","Nate Clements","DB","6-0",205,"1979-12-12","in Shaker Heights, OH","Ohio St. (College Stats)","ClemNa99",2001,2012
"1154","T.J. Clemmings","OT","6-4",337,"1991-11-18","in Teaneck, NJ","Pittsburgh (College Stats)",NA,2015,2018
"1155","Chris Clemons","LB","6-3",255,"1981-10-31","in Griffin, GA","Georgia","ClemCh23",2004,2015
"1156","Chris Clemons","DB","6-1",210,"1985-09-15","in Arcadia, FL","Clemson (College Stats)","ClemCh97",2009,2015
"1157","Toney Clemons","WR","6-2",210,"1988-10-11","in Pittsburgh, PA","Colorado (College Stats)","ClemTo00",2012,2012
"1158","Asante Cleveland","TE","6-5",260,"1992-03-21","in Sacramento, CA","Miami (FL) (College Stats)","ClevAs00",2014,2016
"1159","Ben Cleveland","G","6-6",357,"1998-08-25","in Toccoa, GA","Georgia (College Stats)","ClevBe00",2021,2021
"1160","Ezra Cleveland","OL","6-6",312,"1998-05-08","in Spanaway, WA","Boise St. (College Stats)","ClevEz00",2020,2021
"1161","Tyrie Cleveland","WR","6-2",209,"1997-09-20","in Houston, TX","Florida (College Stats)","ClevTy00",2020,2021
"1162","Chad Clifton","T","6-5",320,"1976-06-26","in Martin, TN","Tennessee","ClifCh20",2000,2011
"1163","Kameron Cline","DT","6-4",270,"1998-02-19","in San Diego, CA","South Dakota","ClinKa00",2020,2021
"1164","Ha Ha Clinton-Dix","FS","6-1",211,"1992-12-21","in Orlando, FL","Alabama (College Stats)","ClinHa00",2014,2021
"1165","Colin Cloherty","TE","6-2",245,"1987-09-16","in Bethesda, MD","Brown","ClohCo00",2009,2012
"1166","David Clowney","WR","6-1",190,"1985-07-07","in Long Island, NY","Virginia Tech (College Stats)","ClowDa00",2008,2010
"1167","Jadeveon Clowney","DE","6-5",255,"1993-02-14","in Rock Hill, SC","South Carolina (College Stats)","ClowJa00",2014,2021
"1168","Tyler Clutts","FB","6-2",260,"1984-11-09","in Clovis, CA","Fresno St.","ClutTy00",2011,2015
"1169","Sammie Coates","WR","6-1",210,"1993-03-31","in Leroy, AL","Auburn (College Stats)","CoatSa00",2015,2018
"1170","Josiah Coatney","DT","6-4",325,"1996-01-04","in Douglasville, GA","Mississippi (College Stats)","CoatJo01",2020,2020
"1171","Daniel Coats","TE","6-3",257,"1984-04-16","in Layton, UT","BYU (College Stats)","CoatDa00",2007,2010
"1172","David Cobb","RB","5-11",229,"1993-06-03","in Killeen, TX","Minnesota (College Stats)","CobbDa00",2015,2015
"1173","Omari Cobb","LB","6-4",223,"1997-05-31","in Port St. Lucie, FL","Marshall","CobbOm00",2020,2020
"1174","Randall Cobb","WR","5-10",195,"1990-08-22","in Maryville, TN","Kentucky (College Stats)","CobbRa00",2011,2021
"1175","Patrick Cobbs","RB","5-8",205,"1983-01-31","in Shawnee, OK","North Texas (College Stats)","CobbPa00",2006,2010
"1176","Colin Cochart","TE","6-4",260,"1987-07-07","in Kewaunee, WI","South Dakota St.","CochCo00",2011,2011
"1177","Ross Cockrell","CB","6-0",191,"1991-08-06","in Hazlet, NJ","Duke (College Stats)","CockRo00",2014,2021
"1178","Shaun Cody","DT","6-4",307,"1983-01-22","in Whittier, CA","USC (College Stats)","CodySh20",2005,2012
"1179","Terrence Cody","DT","6-4",370,"1988-06-28","in Fort Myers, FL","Alabama (College Stats)","CodyTe99",2010,2014
"1180","Michael Coe","DB","6-1",190,"1983-12-17","in Memphis, TN","Alabama St.","CoexMi99",2007,2012
"1181","Rodney Coe","DT","6-3",305,"1993-05-18","in Fulton, MO","Iowa St., Akron (College Stats)","CoexRo00",2017,2017
