"name","full_team","team","year","games_in_season","num_games_injured","num_games_missing","injury_types","earliest_injury","latest_injury","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot","short_team_name","injury","total_injuries","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter","age","bmi"
"Will Rackley","Jacksonville Jaguars","jax",2011,16,1,0,"knee",7,7,0,0,0,0,0,0,1,0,"JAX","1",1,"OL",2011,3,76,75,306,"1989-10-11",5.39,7.91,29,99,75,309,4.94,23.5,1,22,38.2432
"Matt Roth","Jacksonville Jaguars","jax",2011,16,8,7,"neck concussion",3,16,2,0,0,0,0,0,0,0,"JAX","1",2,"DEF",2005,2,46,76,275,"1982-10-14",4.81,7.65,26,112,76,278,4.36,32,1,29,33.4703947368421
"Kevin Rutland","Jacksonville Jaguars","jax",2011,16,1,0,"calf",16,16,0,0,0,0,0,0,1,0,"JAX","1",1,"DEF",NA,NA,NA,72,188,"1988-04-02",4.58,6.92,12,118,72,190,4.15,35.5,1,23,25.4945987654321
"Josh Scobee","Jacksonville Jaguars","jax",2011,16,1,0,"groin",14,14,0,0,0,0,0,0,1,0,"JAX","1",1,"K",2004,5,137,73,200,"1982-06-23",4.87,0,0,0,73,191,0,0,0,29,26.3839369487709
"Clint Session","Jacksonville Jaguars","jax",2011,16,11,7,"wrist elbow head",3,16,1,0,0,0,1,1,0,0,"JAX","1",3,"DEF",2007,4,136,70,222,"1984-09-22",NA,NA,NA,NA,NA,NA,NA,NA,1,27,31.8502040816327
"Cecil Shorts","Jacksonville Jaguars","jax",2011,16,9,6,"hamstring",8,16,0,0,0,0,0,0,1,0,"JAX","1",1,"WR",2011,4,114,72,200,"1987-12-22",4.5,6.5,21,114,72,205,4.07,34.5,0,23,27.1219135802469
"Mike Sims-Walker","Jacksonville Jaguars","jax",2011,16,5,4,"illness knee",8,12,0,0,0,0,0,0,1,0,"JAX","1",1,"WR",2007,3,79,74,197,"1984-11-21",4.35,6.92,18,121,74,209,4.39,36.5,0,27,25.2905405405405
"Daryl Smith","Jacksonville Jaguars","jax",2011,16,1,0,"concussion",6,6,1,0,0,0,0,0,0,0,"JAX","1",1,"DEF",2004,2,39,74,250,"1982-03-14",4.67,0,24,0,74,234,0,0,1,29,32.0945945945946
"Jason Spitz","Jacksonville Jaguars","jax",2011,16,7,6,"quadricep quadriceps",3,9,0,0,0,0,0,0,2,0,"JAX","1",2,"OL",2006,3,75,75,298,"1982-12-19",5.4,7.82,25,102,75,313,4.55,28.5,0,28,37.2433777777778
"Mike Thomas","Jacksonville Jaguars","jax",2011,16,2,1,"concussion",14,15,1,0,0,0,0,0,0,0,"JAX","1",1,"WR",2009,4,107,68,187,"1987-06-04",4.3,6.65,0,126,68,195,4.28,40.5,0,24,28.4301470588235
"Guy Whimper","Jacksonville Jaguars","jax",2011,16,8,1,"hip thigh thigh knee",6,16,0,0,0,1,0,0,3,0,"JAX","1",4,"OL",2006,4,129,77,315,"1983-05-21",4.96,7.38,26,102,77,304,4.59,29,1,28,37.3494687131051
"Ashton Youboty","Jacksonville Jaguars","jax",2011,16,2,1,"hip hamstring",12,16,0,0,0,1,0,0,1,0,"JAX","1",2,"DEF",2006,3,70,72,192,"1984-07-07",4.44,0,0,0,72,189,0,0,1,27,26.037037037037
"Javier Arenas","Kansas City Chiefs","kan",2011,16,3,1,"ankle illness",8,14,0,0,0,0,0,0,0,1,"KC","1",1,"DEF",2010,2,50,69,195,"1987-10-28",4.6,0,0,112,69,197,0,0,0,24,28.7933207309389
"Jonathan Baldwin","Kansas City Chiefs","kan",2011,16,6,5,"wrist thumb  illness",1,14,0,0,0,0,0,2,0,0,"KC","1",2,"WR",2011,1,26,76,225,"1989-08-10",4.49,7.07,20,129,76,228,4.34,42,0,22,27.3848684210526
"Jackie Battle","Kansas City Chiefs","kan",2011,16,2,1,"head foot",6,16,1,0,0,0,0,0,0,1,"KC","1",2,"RB",NA,NA,NA,74,238,"1983-10-01",NA,NA,NA,NA,NA,NA,NA,NA,0,28,30.5540540540541
"Jovan Belcher","Kansas City Chiefs","kan",2011,16,1,0,"shoulder",13,13,0,1,0,0,0,0,0,0,"KC","1",1,"DEF",NA,NA,NA,74,228,"1987-07-24",NA,NA,NA,NA,NA,NA,NA,NA,1,24,29.2702702702703
"Eric Berry","Kansas City Chiefs","kan",2011,16,15,15,"knee",2,16,0,0,0,0,0,0,1,0,"KC","1",1,"DEF",2010,1,5,72,212,"1988-12-29",4.4,6.8,19,130,72,211,4.23,43,1,22,28.7492283950617
"Steve Breaston","Kansas City Chiefs","kan",2011,16,1,0,"hamstring",1,1,0,0,0,0,0,0,1,0,"KC","1",1,"WR",2007,5,142,73,175,"1983-08-20",4.46,6.9,0,124,72,193,4.29,33,1,28,23.0859448301745
"Brandon Carr","Kansas City Chiefs","kan",2011,16,1,0,"ankle",10,10,0,0,0,0,0,0,0,1,"KC","1",1,"DEF",2008,5,140,72,210,"1986-05-19",NA,NA,NA,NA,NA,NA,NA,NA,1,25,28.4780092592593
"Matt Cassel","Kansas City Chiefs","kan",2011,16,8,7,"rib  hand",1,16,0,0,1,0,0,1,0,0,"KC","1",2,"QB",2005,7,230,76,225,"1982-05-17",NA,NA,NA,NA,NA,NA,NA,NA,1,29,27.3848684210526
"Jamaal Charles","Kansas City Chiefs","kan",2011,16,14,14,"knee",3,16,0,0,0,0,0,0,1,0,"KC","1",1,"RB",2008,3,73,71,199,"1986-12-27",4.38,6.8,0,122,71,200,4.22,30.5,0,24,27.7518349533823
"Glenn Dorsey","Kansas City Chiefs","kan",2011,16,2,1,"knee",10,11,0,0,0,0,0,0,1,0,"KC","1",1,"DEF",2008,1,5,74,316,"1985-08-01",5.12,0,0,0,73,297,0,0,1,26,40.5675675675676
"Brandon Flowers","Kansas City Chiefs","kan",2011,16,2,0,"ankle back",4,10,0,0,1,0,0,0,0,1,"KC","1",2,"DEF",2008,2,35,70,190,"1986-02-18",4.55,0,14,117,70,189,0,30,1,25,27.2591836734694
"Jared Gaither","Kansas City Chiefs","kan",2011,16,2,1,"knee",1,2,0,0,0,0,0,0,1,0,"KC","1",1,"OL",2007,5,1,81,350,"1986-03-18",NA,NA,NA,NA,NA,NA,NA,NA,0,25,37.5019051973784
"Wallace Gilberry","Kansas City Chiefs","kan",2011,16,2,0,"neck chest",3,13,1,0,1,0,0,0,0,0,"KC","1",2,"DEF",NA,NA,NA,75,267,"1984-12-05",4.98,0,19,0,74,268,0,0,0,27,33.3690666666667
"Tamba Hali","Kansas City Chiefs","kan",2011,16,2,0,"ankle hand",3,13,0,0,0,0,0,1,0,1,"KC","1",2,"DEF",2006,1,20,75,275,"1983-11-03",4.87,0,0,0,75,275,0,0,1,28,34.3688888888889
"Kendrick Lewis","Kansas City Chiefs","kan",2011,16,2,0,"ankle knee",7,13,0,0,0,0,0,0,1,1,"KC","1",2,"DEF",2010,5,136,72,205,"1988-06-16",4.73,6.88,16,116,72,198,4.33,31.5,1,23,27.7999614197531
"Ryan Lilja","Kansas City Chiefs","kan",2011,16,2,1,"head neck head",11,12,3,0,0,0,0,0,0,0,"KC","1",3,"OL",NA,NA,NA,74,290,"1981-10-15",NA,NA,NA,NA,NA,NA,NA,NA,1,30,37.2297297297297
"Le'Ron McClain","Kansas City Chiefs","kan",2011,16,1,0,"neck",6,6,1,0,0,0,0,0,0,0,"KC","1",1,"RB",2007,4,137,72,260,"1984-12-27",4.75,7.14,14,113,72,256,4.47,29.5,1,26,35.258487654321
"Jon McGraw","Kansas City Chiefs","kan",2011,16,9,6,"shin shoulder ankle",4,16,0,1,0,0,0,0,1,1,"KC","1",3,"DEF",2002,2,57,75,208,"1979-04-02",4.5,6.51,13,126,75,208,3.92,39.5,1,32,25.9953777777778
"Kyle Orton","Kansas City Chiefs","kan",2011,16,2,1,"hand finger",13,14,0,0,0,0,0,2,0,0,"KC","1",2,"QB",2005,4,106,76,228,"1982-11-14",5.06,7.38,0,0,76,233,4.52,26.5,1,29,27.75
"Casey Wiegmann","Kansas City Chiefs","kan",2011,16,3,0,"finger calf",12,15,0,0,0,0,0,1,1,0,"KC","1",2,"OL",NA,NA,NA,74,285,"1973-07-20",NA,NA,NA,NA,NA,NA,NA,NA,1,38,36.5878378378378
"Demorrio Williams","Kansas City Chiefs","kan",2011,16,4,3,"groin",9,13,0,0,0,0,0,0,1,0,"KC","1",1,"DEF",2004,4,101,73,235,"1980-07-06",4.52,7.02,16,125,73,232,4.11,37,0,31,31.0011259148058
"Khalif Barnes","Las Vegas Raiders","rai",2011,16,1,0,"shoulder",9,9,0,1,0,0,0,0,0,0,"OAK","1",1,"OL",2005,2,52,78,320,"1982-04-21",4.92,7.57,26,106,78,305,4.54,35,1,29,36.9756738987508
"Darryl Blackstock","Las Vegas Raiders","rai",2011,16,1,0,"concussion",1,1,1,0,0,0,0,0,0,0,"OAK","1",1,"DEF",2005,3,95,75,245,"1983-05-30",4.7,7.05,25,126,75,247,4.29,39,0,28,30.6195555555556
"Kevin Boss","Las Vegas Raiders","rai",2011,16,6,2,"knee  head hip",1,13,1,0,0,1,0,0,1,0,"OAK","1",3,"TE",2007,5,153,79,255,"1984-01-11",4.78,6.96,0,116,78,252,4.41,35,0,27,28.7237622175933
"Jerome Boyd","Las Vegas Raiders","rai",2011,16,3,0,"knee",3,5,0,0,0,0,0,0,1,0,"OAK","1",1,"DEF",NA,NA,NA,74,225,"1986-05-26",NA,NA,NA,NA,NA,NA,NA,NA,0,25,28.8851351351351
"Tyvon Branch","Las Vegas Raiders","rai",2011,16,1,0,"knee",5,5,0,0,0,0,0,0,1,0,"OAK","1",1,"DEF",2008,4,100,71,197,"1986-12-11",4.31,0,19,120,71,204,4.4,34,1,24,27.4729220392779
"Ricky Brown","Las Vegas Raiders","rai",2011,16,13,13,"concussion",4,16,1,0,0,0,0,0,0,0,"OAK","1",1,"DEF",NA,NA,NA,74,235,"1983-12-27",NA,NA,NA,NA,NA,NA,NA,NA,0,27,30.1689189189189
"Michael Bush","Las Vegas Raiders","rai",2011,16,2,0,"ankle shoulder",5,15,0,1,0,0,0,0,0,1,"OAK","1",2,"RB",2007,4,100,74,243,"1984-06-16",4.62,0,0,0,73,243,0,0,1,27,31.1959459459459
"Jason Campbell","Las Vegas Raiders","rai",2011,16,15,10,"foot back ankle shoulder collarbone",2,16,0,2,1,0,0,0,0,2,"OAK","1",5,"QB",2005,1,25,77,235,"1981-12-31",4.71,0,0,0,77,230,0,0,1,29,27.8638893573959
"Rock Cartwright","Las Vegas Raiders","rai",2011,16,4,1,"calf",6,15,0,0,0,0,0,0,1,0,"OAK","1",1,"RB",2002,7,257,68,215,"1979-12-03",4.47,7.18,30,116,68,237,4.25,35,0,32,32.6870674740484
"Chimdi Chekwa","Las Vegas Raiders","rai",2011,16,13,12,"hamstring",4,16,0,0,0,0,0,0,1,0,"OAK","1",1,"DEF",2011,4,113,71,190,"1988-09-07",4.38,0,0,126,72,191,0,34.5,1,23,26.4967268399127
"Jacoby Ford","Las Vegas Raiders","rai",2011,16,10,8,"hamstring foot",2,16,0,0,0,0,0,0,1,1,"OAK","1",2,"WR",2010,4,108,69,181,"1987-07-27",4.28,7,15,115,69,186,4.44,33.5,0,24,26.7261079605125
"Matt Giordano","Las Vegas Raiders","rai",2011,16,6,0,"shoulder concussion groin neck quadricep",4,15,2,1,0,0,0,0,2,0,"OAK","1",5,"DEF",2005,4,135,71,204,"1982-10-16",NA,NA,NA,NA,NA,NA,NA,NA,1,29,28.4491172386431
"Richard Gordon","Las Vegas Raiders","rai",2011,16,3,2,"hand",5,7,0,0,0,0,0,1,0,0,"OAK","1",1,"TE",2011,6,181,75,262,"1987-06-07",NA,NA,NA,NA,NA,NA,NA,NA,0,24,32.7441777777778
"Quentin Groves","Las Vegas Raiders","rai",2011,16,1,0,"quadricep",4,4,0,0,0,0,0,0,1,0,"OAK","1",1,"DEF",2008,2,52,75,250,"1984-07-05",4.53,7.31,30,120,75,259,4.42,29.5,0,27,31.2444444444444
"Derek Hagan","Las Vegas Raiders","rai",2011,16,2,1,"calf",1,2,0,0,0,0,0,0,1,0,"OAK","1",1,"WR",2006,3,82,74,210,"1984-09-21",4.45,0,0,124,74,208,4.07,36,0,27,26.9594594594595
"John Henderson","Las Vegas Raiders","rai",2011,16,5,3,"back knee",8,16,0,0,1,0,0,0,1,0,"OAK","1",2,"DEF",2002,1,9,79,335,"1979-01-09",4.87,7.71,24,110,79,308,4.66,27.5,0,32,37.7351385995834
"Stephon Heyer","Las Vegas Raiders","rai",2011,16,2,2,"knee",2,3,0,0,0,0,0,0,1,0,"OAK","1",1,"OL",NA,NA,NA,78,319,"1984-01-16",5.59,0,30,94,78,334,0,0,1,27,36.8601249178172
"Darrius Heyward-Bey","Las Vegas Raiders","rai",2011,16,4,1,"knee head neck heel",2,14,2,0,0,0,0,0,1,1,"OAK","1",4,"WR",2009,1,7,74,210,"1987-02-26",4.3,6.8,16,126,74,210,4.18,38.5,1,24,26.9594594594595
"Lamarr Houston","Las Vegas Raiders","rai",2011,16,2,0,"knee",11,12,0,0,0,0,0,0,1,0,"OAK","1",1,"DEF",2010,2,44,75,274,"1987-06-24",4.84,7.61,30,114,75,305,4.71,33.5,1,24,34.2439111111111
"Michael Huff","Las Vegas Raiders","rai",2011,16,14,4,"groin concussion ankle",2,16,1,0,0,0,0,0,1,1,"OAK","1",3,"DEF",2006,1,7,72,211,"1983-03-06",4.34,0,21,125,72,204,0,40.5,0,28,28.6136188271605
"Sebastian Janikowski","Las Vegas Raiders","rai",2011,16,6,1,"foot hamstring",3,12,0,0,0,0,0,0,1,1,"OAK","1",2,"K",2000,1,17,73,260,"1978-03-02",0,0,0,0,73,260,0,0,0,33,34.2991180334021
"Chris Johnson","Las Vegas Raiders","rai",2011,16,16,12,"groin hamstring hamstring groin personal",1,16,0,0,0,0,0,0,4,0,"OAK","1",4,"DEF",2003,7,245,73,200,"1979-09-25",NA,NA,NA,NA,NA,NA,NA,NA,0,32,26.3839369487709
"Taiwan Jones","Las Vegas Raiders","rai",2011,16,8,6,"foot  calf hamstring",1,16,0,0,0,0,0,0,2,1,"OAK","1",3,"RB",2011,4,125,72,195,"1988-07-26",4.33,NA,13,NA,72,194,NA,NA,0,23,26.4438657407407
"Tommy Kelly","Las Vegas Raiders","rai",2011,16,4,0,"toe",12,15,0,0,0,0,0,0,0,1,"OAK","1",1,"DEF",NA,NA,NA,78,310,"1980-12-27",4.87,7.79,24,105,78,294,4.45,25,1,30,35.8201840894149
"Bryan McCann","Las Vegas Raiders","rai",2011,16,1,0,"concussion",15,15,1,0,0,0,0,0,0,0,"OAK","1",1,"DEF",NA,NA,NA,70,182,"1987-09-29",NA,NA,NA,NA,NA,NA,NA,NA,0,24,26.1114285714286
"Rolando McClain","Las Vegas Raiders","rai",2011,16,5,1,"ankle",6,12,0,0,0,0,0,0,0,1,"OAK","1",1,"DEF",2010,1,8,75,254,"1989-07-14",4.68,0,24,0,75,254,0,0,1,22,31.7443555555556
"Darren McFadden","Las Vegas Raiders","rai",2011,16,12,9,"shoulder groin shoulder foot",2,16,0,2,0,0,0,0,1,1,"OAK","1",4,"RB",2008,1,4,74,210,"1987-08-27",4.33,0,0,128,73,211,0,33,1,24,26.9594594594595
"Mike Mitchell","Las Vegas Raiders","rai",2011,16,10,3,"groin knee  ankle",1,12,0,0,0,0,0,0,2,1,"OAK","1",3,"DEF",2009,2,47,73,221,"1987-06-10",NA,NA,NA,NA,NA,NA,NA,NA,0,24,29.1542503283918
"Denarius Moore","Las Vegas Raiders","rai",2011,16,5,3,"foot",11,15,0,0,0,0,0,0,0,1,"OAK","1",1,"WR",2011,5,148,72,195,"1988-12-09",4.43,6.78,13,118,72,194,4.15,36,1,22,26.4438657407407
"Jarvis Moss","Las Vegas Raiders","rai",2011,16,6,2,"foot chest hamstring shoulder",2,14,0,1,1,0,0,0,1,1,"OAK","1",4,"DEF",2007,1,17,79,250,"1984-08-03",4.7,0,16,120,78,250,0,30.5,0,27,28.160551193719
"Louis Murphy","Las Vegas Raiders","rai",2011,16,9,5,"undisclosed hernia groin  hip groin",1,16,0,0,1,1,0,0,2,0,"OAK","1",4,"WR",2009,4,124,74,200,"1987-05-11",4.32,0,12,0,74,203,0,0,1,24,25.6756756756757
"Brandon Myers","Las Vegas Raiders","rai",2011,16,2,0,"ribs",6,7,0,0,1,0,0,0,0,0,"OAK","1",1,"TE",2009,6,202,76,250,"1985-09-04",NA,NA,NA,NA,NA,NA,NA,NA,0,26,30.4276315789474
"Nedu Ndukwe","Las Vegas Raiders","rai",2011,16,1,1,"knee",9,9,0,0,0,0,0,0,1,0,"OAK","1",1,"DEF",2007,7,253,74,217,"1985-03-04",4.49,0,15,0,74,206,0,37.5,0,26,27.8581081081081
"Carson Palmer","Las Vegas Raiders","rai",2011,16,1,0,"quadricep",9,9,0,0,0,0,0,0,1,0,"OAK","1",1,"QB",2003,1,1,77,235,"1979-12-27",4.65,0,0,0,77,232,0,0,1,31,27.8638893573959
"Joe Porter","Las Vegas Raiders","rai",2011,16,1,0,"concussion",2,2,1,0,0,0,0,0,0,0,"OAK","1",1,"DEF",NA,NA,NA,70,197,"1985-11-27",NA,NA,NA,NA,NA,NA,NA,NA,0,26,28.2634693877551
"Marcel Reece","Las Vegas Raiders","rai",2011,16,6,4,"ankle shoulder",4,9,0,1,0,0,0,0,0,1,"OAK","1",2,"TE",NA,NA,NA,73,235,"1985-06-23",NA,NA,NA,NA,NA,NA,NA,NA,0,26,31.0011259148058
"Stanford Routt","Las Vegas Raiders","rai",2011,16,1,0,"knee",15,15,0,0,0,0,0,0,1,0,"OAK","1",1,"DEF",2005,2,38,73,195,"1983-07-23",4.27,6.63,0,129,73,193,3.9,36.5,1,28,25.7243385250516
"Samson Satele","Las Vegas Raiders","rai",2011,16,8,1,"ribs knee concussion shoulder",6,15,1,1,1,0,0,0,1,0,"OAK","1",4,"OL",2007,2,60,75,300,"1984-11-29",5.24,7.47,25,101,75,300,4.29,33,1,27,37.4933333333333
"Chaz Schilens","Las Vegas Raiders","rai",2011,16,6,1,"knee  groin foot hip",1,15,0,0,0,1,0,0,2,1,"OAK","1",4,"WR",2008,7,226,76,225,"1985-11-07",NA,NA,NA,NA,NA,NA,NA,NA,0,26,27.3848684210526
"Trevor Scott","Las Vegas Raiders","rai",2011,16,3,0,"knee  shoulder",1,13,0,1,0,0,0,0,1,0,"OAK","1",2,"DEF",2008,6,169,77,256,"1984-08-30",NA,NA,NA,NA,NA,NA,NA,NA,0,27,30.3538539382695
"Richard Seymour","Las Vegas Raiders","rai",2011,16,9,0,"ribs knee ankle illness",2,16,0,0,1,0,0,0,1,1,"OAK","1",3,"DEF",2001,1,6,78,317,"1979-10-06",4.95,0,0,0,78,299,0,0,1,32,36.62902695595
"Matt Shaughnessy","Las Vegas Raiders","rai",2011,16,13,13,"shoulder",4,16,0,1,0,0,0,0,0,0,"OAK","1",1,"DEF",2009,3,71,77,260,"1986-09-23",4.86,7.68,24,112,77,266,4.88,30.5,1,25,30.828132906055
"Manase Tonga","Las Vegas Raiders","rai",2011,16,2,1,"knee",10,11,0,0,0,0,0,0,1,0,"OAK","1",1,"RB",NA,NA,NA,71,245,"1984-02-28",4.84,7.44,19,105,71,245,4.69,32,0,27,34.1668319777822
"DeMarcus Van Dyke","Las Vegas Raiders","rai",2011,16,6,2,"ribs  knee hamstring concussion",1,16,1,0,1,0,0,0,2,0,"OAK","1",4,"DEF",2011,3,81,73,175,"1989-01-17",4.28,6.97,5,121,73,176,4.09,33.5,0,22,23.0859448301745
"Kamerion Wimbley","Las Vegas Raiders","rai",2011,16,1,0,"hamstring",12,12,0,0,0,0,0,0,1,0,"OAK","1",1,"DEF",2006,1,13,76,258,"1983-10-13",4.61,6.97,24,129,76,248,4.48,38.5,1,28,31.4013157894737
"Antwan Barnes","Los Angeles Chargers","sdg",2011,16,1,0,"calf",9,9,0,0,0,0,0,0,1,0,"LAC","1",1,"DEF",2007,4,134,73,240,"1984-10-19",4.43,7.29,31,122,73,240,4.32,35,0,27,31.660724338525
"Colin Baxter","Los Angeles Chargers","sdg",2011,16,1,1,"ankle",14,14,0,0,0,0,0,0,0,1,"LAC","1",1,"OL",NA,NA,NA,75,311,"1987-07-31",NA,NA,NA,NA,NA,NA,NA,NA,0,24,38.8680888888889
"Bront Bird","Los Angeles Chargers","sdg",2011,16,2,1,"ankle knee",11,16,0,0,0,0,0,0,1,1,"LAC","1",2,"DEF",NA,NA,NA,76,248,"1989-03-17",NA,NA,NA,NA,NA,NA,NA,NA,0,22,30.1842105263158
"Curtis Brinkley","Los Angeles Chargers","sdg",2011,16,1,0,"concussion",8,8,1,0,0,0,0,0,0,0,"LAC","1",1,"RB",NA,NA,NA,69,208,"1985-09-20",NA,NA,NA,NA,NA,NA,NA,NA,1,26,30.7128754463348
"Donald Butler","Los Angeles Chargers","sdg",2011,16,4,0,"illness foot",9,15,0,0,0,0,0,0,0,1,"LAC","1",1,"DEF",2010,3,79,73,244,"1988-10-17",4.61,0,35,0,73,245,0,0,1,23,32.1884030775005
"Antoine Cason","Los Angeles Chargers","sdg",2011,16,1,0,"hand",1,1,0,0,0,0,0,1,0,0,"LAC","1",1,"DEF",2008,1,27,72,190,"1986-07-09",4.45,0,20,128,72,191,4.08,35.5,1,25,25.7658179012346
"Luis Castillo","Los Angeles Chargers","sdg",2011,16,15,15,"knee",2,16,0,0,0,0,0,0,1,0,"LAC","1",1,"DEF",2005,1,28,75,290,"1983-08-04",4.79,0,32,112,75,303,0,34.5,1,28,36.2435555555556
"Jacques Cesaire","Los Angeles Chargers","sdg",2011,16,6,4,"knee ankle",4,15,0,0,0,0,0,0,1,1,"LAC","1",2,"DEF",NA,NA,NA,74,295,"1980-08-30",NA,NA,NA,NA,NA,NA,NA,NA,0,31,37.8716216216216
"Stephen Cooper","Los Angeles Chargers","sdg",2011,16,11,11,"biceps",6,16,0,0,0,0,1,0,0,0,"LAC","1",1,"DEF",NA,NA,NA,73,235,"1979-06-19",NA,NA,NA,NA,NA,NA,NA,NA,0,32,31.0011259148058
"Patrick Crayton","Los Angeles Chargers","sdg",2011,16,3,2,"ankle",1,3,0,0,0,0,0,0,0,1,"LAC","1",1,"WR",2004,7,216,72,205,"1979-04-07",NA,NA,NA,NA,NA,NA,NA,NA,0,32,27.7999614197531
"Kris Dielman","Los Angeles Chargers","sdg",2011,16,10,10,"concussion seizure concussion",7,16,3,0,0,0,0,0,0,0,"LAC","1",3,"OL",NA,NA,NA,76,320,"1981-02-03",NA,NA,NA,NA,NA,NA,NA,NA,1,30,38.9473684210526
"Na'il Diggs","Los Angeles Chargers","sdg",2011,16,5,2,"groin knee chest",4,13,0,0,1,0,0,0,2,0,"LAC","1",3,"DEF",2000,4,98,76,240,"1978-07-08",4.66,0,0,0,76,231,0,0,0,33,29.2105263157895
"Brandyn Dombrowski","Los Angeles Chargers","sdg",2011,16,2,1,"foot",12,13,0,0,0,0,0,0,0,1,"LAC","1",1,"OL",NA,NA,NA,77,323,"1985-04-03",NA,NA,NA,NA,NA,NA,NA,NA,0,26,38.298026648676
"Larry English","Los Angeles Chargers","sdg",2011,16,10,10,"foot",7,16,0,0,0,0,0,0,0,1,"LAC","1",1,"DEF",2009,1,16,74,254,"1986-01-22",4.74,7.26,24,107,74,255,4.38,36,0,25,32.6081081081081
"Malcom Floyd","Los Angeles Chargers","sdg",2011,16,9,4,"groin hip",3,12,0,0,0,1,0,0,1,0,"LAC","1",2,"WR",NA,NA,NA,77,225,"1981-09-08",NA,NA,NA,NA,NA,NA,NA,NA,1,30,26.6781919379322
"Andrew Gachkar","Los Angeles Chargers","sdg",2011,16,2,0,"back  hamstring",1,16,0,0,1,0,0,0,1,0,"LAC","1",2,"OL",2011,7,234,74,224,"1988-11-04",NA,NA,NA,NA,NA,NA,NA,NA,0,23,28.7567567567568
"Jared Gaither","Los Angeles Chargers","sdg",2011,16,1,0,"ankle",16,16,0,0,0,0,0,0,0,1,"LAC","1",1,"OL",2007,5,1,81,350,"1986-03-18",NA,NA,NA,NA,NA,NA,NA,NA,1,25,37.5019051973784
"Antonio Garay","Los Angeles Chargers","sdg",2011,16,2,0,"hip toe",10,15,0,0,0,1,0,0,0,1,"LAC","1",2,"DEF",2003,6,195,76,320,"1979-11-30",4.9,0,0,0,75,295,0,0,0,32,38.9473684210526
"Antonio Gates","Los Angeles Chargers","sdg",2011,16,7,3,"foot",1,10,0,0,0,0,0,0,0,1,"LAC","1",1,"TE",NA,NA,NA,76,255,"1980-06-18",NA,NA,NA,NA,NA,NA,NA,NA,1,31,31.0361842105263
"Marcus Gilchrist","Los Angeles Chargers","sdg",2011,16,4,2,"knee hamstring",6,12,0,0,0,0,0,0,2,0,"LAC","1",2,"DEF",2011,2,50,70,200,"1988-12-08",4.45,6.81,26,119,70,195,4.12,38.5,1,22,28.6938775510204
"Richard Goodman","Los Angeles Chargers","sdg",2011,16,1,0,"groin",9,9,0,0,0,0,0,0,1,0,"LAC","1",1,"WR",NA,NA,NA,72,192,"1987-04-23",NA,NA,NA,NA,NA,NA,NA,NA,0,24,26.037037037037
"Tyronne Green","Los Angeles Chargers","sdg",2011,16,5,2,"hand",8,13,0,0,0,0,0,1,0,0,"LAC","1",1,"OL",2009,4,133,73,305,"1986-04-06",5.4,0,22,0,74,309,0,0,1,25,40.2355038468756
"Steve Gregory","Los Angeles Chargers","sdg",2011,16,2,1,"thigh",9,10,0,0,0,0,0,0,1,0,"LAC","1",1,"DEF",NA,NA,NA,71,200,"1983-01-08",NA,NA,NA,NA,NA,NA,NA,NA,1,28,27.8912914104344
"Nick Hardwick","Los Angeles Chargers","sdg",2011,16,2,0,"neck",5,13,1,0,0,0,0,0,0,0,"LAC","1",1,"OL",2004,3,66,76,305,"1981-09-02",5.2,7.72,27,108,75,295,4.55,34,1,30,37.1217105263158
"Jacob Hester","Los Angeles Chargers","sdg",2011,16,2,0,"foot",6,7,0,0,0,0,0,0,0,1,"LAC","1",1,"RB",2008,3,69,71,230,"1985-05-08",4.61,6.85,23,111,71,226,4.24,27.5,0,26,32.0749851219996
"Vincent Jackson","Los Angeles Chargers","sdg",2011,16,7,0,"abdomen leg abdomen hamstring groin",3,16,0,0,2,0,0,0,3,0,"LAC","1",5,"WR",2005,2,61,77,230,"1983-01-14",4.46,0,0,0,77,241,0,39,1,28,27.271040647664
"Quentin Jammer","Los Angeles Chargers","sdg",2011,16,3,1,"illness hamstring",3,5,0,0,0,0,0,0,1,0,"LAC","1",1,"DEF",2002,1,5,72,204,"1979-06-19",4.49,0,18,124,72,204,0,36,1,32,27.6643518518519
"Nate Kaeding","Los Angeles Chargers","sdg",2011,16,15,15,"knee",2,16,0,0,0,0,0,0,1,0,"LAC","1",1,"K",2004,3,65,72,187,"1982-03-26",4.95,0,0,0,72,187,0,0,0,29,25.3589891975309
"Travis LaBoy","Los Angeles Chargers","sdg",2011,16,2,2,"knee",15,16,0,0,0,0,0,0,1,0,"LAC","1",1,"DEF",2004,2,42,75,250,"1981-08-20",4.69,7.01,35,126,75,263,4.07,35.5,1,30,31.2444444444444
"Corey Liuget","Los Angeles Chargers","sdg",2011,16,4,1,"ankle leg",3,13,0,0,0,0,0,0,1,1,"LAC","1",2,"DEF",2011,1,18,74,300,"1990-03-18",4.97,7.48,27,102,74,298,4.68,27.5,1,21,38.5135135135135
"Ryan Mathews","Los Angeles Chargers","sdg",2011,16,6,2,"foot thumb groin knee calf",4,16,0,0,0,0,0,1,3,1,"LAC","1",5,"RB",2010,1,12,72,220,"1987-10-10",4.37,7,19,121,72,218,4.33,36,1,24,29.8341049382716
